RS_WARD,2124784.151,273463.294,25.005,BS
1,2123556.825,273078.571,9.240,PN
2,2123557.989,273074.753,9.285,PN
3,2123589.360,273094.658,9.442,PN
4,2123611.311,273113.466,9.456,PN
5,2123622.683,273128.265,9.579,PN
6,2123651.525,273172.140,9.578,PN-Damage
7,2123657.883,273201.209,9.527,PN
8,2123660.848,273215.477,9.225,PN flot
9,2123648.166,273218.678,9.216,PN
10,2123624.142,273220.851,9.320,PN
11,2123664.324,273238.084,9.446,PN
12,2123664.554,273239.268,9.552,PN-VS-FLOT
13,2123689.762,273245.439,13.138,PN-FLOT
14,2123693.719,273274.284,9.783,PN
15,2123750.244,273209.745,9.458,PN
16,2123779.952,273206.514,9.055,PN
17,2123810.539,273203.054,8.845,PN
18,2123840.967,273199.222,8.530,PN
19,2123820.537,273329.484,9.790,PN
20,2123797.282,273316.061,22.104,PN-FLOT
21,2123759.749,273323.012,9.486,PN-NOT-OPEN-FLOT
22,2123748.434,273303.324,9.756,PN
23,2123740.497,273273.783,9.838,PN
24,2123731.946,273242.576,9.857,PN
25,2123859.991,273355.319,9.306,PN
26,2123868.078,273344.285,9.033,PN
27,2123927.455,273343.627,8.685,PN
28,2123897.754,273344.328,9.194,PN
